question,answer
"72, 8101, 568, 2216, 15262, 813, 502, 23601, 13","9891, 11, 719, 1364, 2163, 1461, 264, 1060, 3010, 13"
"2465, 83777, 596, 13455, 50737, 15526, 13","708, 1587, 10705, 13"
"708, 1587, 10705, 13","72, 1781, 433, 596, 459, 2362, 1274, 596, 22843, 13"
"72, 1781, 433, 596, 459, 2362, 1274, 596, 22843, 13","54760, 30"
"54760, 30","9891, 13, 602, 1781, 994, 499, 636, 2362, 11, 499, 3240, 311, 22843, 13"
"9891, 13, 602, 1781, 994, 499, 636, 2362, 11, 499, 3240, 311, 22843, 13","4908, 14098, 430, 374, 2288, 57796, 30"
"4908, 14098, 430, 374, 2288, 57796, 30","9891, 11, 1120, 1093, 14098, 430, 374, 2288, 57796, 13"
"9891, 11, 1120, 1093, 14098, 430, 374, 2288, 57796, 13","8248, 279, 22843, 374, 2204, 13"
"8248, 279, 22843, 374, 2204, 13","9891, 11, 2362, 1274, 1541, 956, 22843, 1093, 14098, 13"
"9891, 11, 2362, 1274, 1541, 956, 22843, 1093, 14098, 13","2201, 11, 814, 22843, 1093, 264, 82642, 8221, 13"
"2201, 11, 814, 22843, 1093, 264, 82642, 8221, 13","9891, 11, 264, 82642, 8221, 706, 430, 1890, 22843, 13"
"9891, 11, 264, 82642, 8221, 706, 430, 1890, 22843, 13","9891, 11, 459, 2362, 22843, 13"
"1820, 3430, 315, 50312, 5900, 709, 323, 709, 13","72, 1781, 50312, 1511, 311, 2853, 264, 50169, 13"
"72, 1781, 50312, 1511, 311, 2853, 264, 50169, 13","9210, 574, 264, 1317, 892, 4227, 13"
"9210, 574, 264, 1317, 892, 4227, 13","275, 574, 1603, 602, 574, 9405, 13"
"275, 574, 1603, 602, 574, 9405, 13","3409, 264, 21899, 374, 220, 2983, 31291, 13"
"3409, 264, 21899, 374, 220, 2983, 31291, 13","8248, 304, 1253, 433, 690, 387, 220, 2096, 31291, 13"
"8248, 304, 1253, 433, 690, 387, 220, 2096, 31291, 13","19553, 499, 3596, 5675, 264, 6661, 304, 279, 8232, 30"
"19553, 499, 3596, 5675, 264, 6661, 304, 279, 8232, 30","2201, 11, 602, 9167, 956, 13"
"2201, 11, 602, 9167, 956, 13","818, 2544, 617, 602, 13"
"818, 2544, 617, 602, 13","708, 11, 814, 656, 264, 1695, 2683, 369, 279, 3300, 13"
"708, 11, 814, 656, 264, 1695, 2683, 369, 279, 3300, 13","9891, 11, 814, 656, 13"
"9891, 11, 814, 656, 13","37860, 584, 13434, 956, 29011, 13"
"64, 3215, 3782, 1022, 856, 15845, 13","12840, 527, 499, 2133, 311, 656, 30"
"12840, 527, 499, 2133, 311, 656, 30","3983, 11, 602, 617, 311, 1505, 279, 3215, 13"
"3983, 11, 602, 617, 311, 1505, 279, 3215, 13","2940, 1550, 499, 9229, 433, 30"
"2940, 1550, 499, 9229, 433, 30","72, 617, 912, 4623, 13"
"72, 617, 912, 4623, 13","64, 3215, 374, 2653, 311, 1505, 13, 1550, 499, 1427, 304, 701, 26346, 90569, 30"
"64, 3215, 374, 2653, 311, 1505, 13, 1550, 499, 1427, 304, 701, 26346, 90569, 30","9210, 596, 264, 1695, 4623, 13"
"9210, 596, 264, 1695, 4623, 13","72, 1766, 264, 3215, 304, 856, 26346, 90569, 832, 892, 13"
"72, 1766, 264, 3215, 304, 856, 26346, 90569, 832, 892, 13","1169, 757, 1427, 13, 912, 11, 433, 596, 539, 1070, 13"
"1169, 757, 1427, 13, 912, 11, 433, 596, 539, 1070, 13","35676, 37824, 2586, 449, 459, 5066, 3215, 13"
"35676, 37824, 2586, 449, 459, 5066, 3215, 13","9514, 2351, 1314, 13, 420, 832, 1587, 617, 459, 5066, 3215, 13"
"9514, 2351, 1314, 13, 420, 832, 1587, 617, 459, 5066, 3215, 13","3409, 682, 499, 617, 311, 656, 374, 23154, 433, 389, 13"
"72, 617, 311, 733, 311, 279, 15197, 13","9514, 7172, 2288, 1790, 11033, 13"
"9514, 7172, 2288, 1790, 11033, 13","8248, 602, 3021, 11033, 13"
"8248, 602, 3021, 11033, 13","9336, 11, 433, 596, 701, 2324, 13"
"9336, 11, 433, 596, 701, 2324, 13","9514, 8343, 2288, 1790, 18414, 13"
"9514, 8343, 2288, 1790, 18414, 13","72, 1541, 956, 1781, 779, 13"
"72, 1541, 956, 1781, 779, 13","19553, 499, 7111, 304, 279, 18327, 30"
"19553, 499, 7111, 304, 279, 18327, 30","3055, 499, 1781, 602, 2846, 3794, 8834, 30"
"3055, 499, 1781, 602, 2846, 3794, 8834, 30","72, 3287, 956, 2019, 430, 13"
"72, 3287, 956, 2019, 430, 13","12840, 1550, 499, 2019, 30"
"12840, 1550, 499, 2019, 30","72, 1071, 602, 617, 311, 733, 311, 279, 15197, 13"
"72, 1071, 602, 617, 311, 733, 311, 279, 15197, 13","9210, 596, 1148, 602, 3463, 499, 1071, 13"
"23770, 499, 656, 279, 35189, 30","9891, 11, 602, 1550, 13"
"9891, 11, 602, 1550, 13","12840, 1550, 499, 11623, 30"
"12840, 1550, 499, 11623, 30","72, 38593, 279, 25112, 323, 53984, 13"
"72, 38593, 279, 25112, 323, 53984, 13","12840, 922, 279, 43425, 24857, 30"
"12840, 922, 279, 43425, 24857, 30","9891, 11, 602, 3952, 1124, 1022, 279, 67026, 323, 38593, 1124, 13"
"9891, 11, 602, 3952, 1124, 1022, 279, 67026, 323, 38593, 1124, 13","23770, 499, 9235, 4395, 304, 279, 47722, 30"
"23770, 499, 9235, 4395, 304, 279, 47722, 30","9891, 11, 602, 32720, 4395, 304, 279, 47722, 13"
"9891, 11, 602, 32720, 4395, 304, 279, 47722, 13","3473, 1148, 1550, 499, 656, 30"
"3473, 1148, 1550, 499, 656, 30","72, 48135, 682, 279, 53984, 13"
"72, 48135, 682, 279, 53984, 13","23770, 499, 2231, 279, 25112, 389, 279, 28036, 30"
"23770, 499, 2231, 279, 25112, 389, 279, 28036, 30","9891, 11, 323, 602, 2231, 279, 43425, 24857, 389, 279, 67026, 13"
"3055, 499, 9020, 311, 279, 9063, 30","72, 9020, 1938, 323, 3814, 13"
"72, 9020, 1938, 323, 3814, 13","12840, 656, 499, 9020, 311, 30"
"12840, 656, 499, 9020, 311, 30","63995, 3137, 9063, 13"
"63995, 3137, 9063, 13","12840, 596, 430, 30"
"12840, 596, 430, 30","16455, 3137, 922, 1510, 4455, 13"
"16455, 3137, 922, 1510, 4455, 13","12840, 656, 814, 2019, 30"
"12840, 656, 814, 2019, 30","20670, 2019, 814, 1390, 2349, 13"
"20670, 2019, 814, 1390, 2349, 13","12840, 3169, 315, 2349, 30"
"12840, 3169, 315, 2349, 30","20670, 1390, 3827, 15455, 13"
"20670, 1390, 3827, 15455, 13","35734, 656, 814, 1390, 3827, 15455, 30"
"35734, 656, 814, 1390, 3827, 15455, 30","28753, 3827, 15455, 690, 3665, 1124, 3300, 13"
"61874, 11, 602, 2846, 30056, 13","7349, 304, 279, 38681, 13"
"7349, 304, 279, 38681, 13","72, 2846, 3411, 13, 1070, 596, 4400, 311, 8343, 13"
"72, 2846, 3411, 13, 1070, 596, 4400, 311, 8343, 13","548, 499, 2771, 30"
"548, 499, 2771, 30","275, 596, 4661, 4384, 13"
"275, 596, 4661, 4384, 13","72, 4024, 311, 279, 3157, 13985, 13"
"72, 4024, 311, 279, 3157, 13985, 13","72, 1541, 956, 1518, 4205, 13"
"72, 1541, 956, 1518, 4205, 13","72, 11021, 10283, 315, 85138, 323, 41776, 13"
"72, 11021, 10283, 315, 85138, 323, 41776, 13","72, 1541, 956, 1390, 14098, 13, 602, 1390, 2555, 39953, 13"
"72, 1541, 956, 1390, 14098, 13, 602, 1390, 2555, 39953, 13","33166, 279, 14098, 13, 433, 596, 1695, 369, 499, 13"
"33166, 279, 14098, 13, 433, 596, 1695, 369, 499, 13","3684, 892, 499, 733, 311, 279, 3157, 11, 1095, 757, 733, 449, 499, 13"
"3684, 892, 499, 733, 311, 279, 3157, 11, 1095, 757, 733, 449, 499, 13","2201, 11, 9901, 499, 13, 682, 499, 1390, 311, 8343, 527, 4106, 12875, 323, 32656, 16283, 13"
"12840, 374, 1070, 311, 8343, 30","72, 1541, 956, 1440, 13, 1427, 304, 279, 38681, 13"
"72, 1541, 956, 1440, 13, 1427, 304, 279, 38681, 13","72, 1781, 602, 3358, 1304, 264, 28974, 13"
"72, 1781, 602, 3358, 1304, 264, 28974, 13","12840, 3169, 30"
"12840, 3169, 30","64, 13824, 28974, 13"
"64, 13824, 28974, 13","1820, 16385, 374, 304, 279, 22685, 13"
"1820, 16385, 374, 304, 279, 22685, 13","2940, 596, 279, 65407, 30"
"2940, 596, 279, 65407, 30","275, 596, 304, 279, 38681, 11, 602, 1781, 13"
"275, 596, 304, 279, 38681, 11, 602, 1781, 13","2319, 11, 10035, 11, 1618, 433, 374, 13, 656, 499, 1390, 264, 28974, 30"
"2319, 11, 10035, 11, 1618, 433, 374, 13, 656, 499, 1390, 264, 28974, 30","9891, 11, 430, 10578, 6555, 13"
"9891, 11, 430, 10578, 6555, 13","5269, 922, 1063, 39834, 24512, 30"
"5269, 922, 1063, 39834, 24512, 30","9891, 13, 323, 264, 22975, 11, 422, 584, 617, 904, 13"
"275, 596, 892, 369, 701, 9061, 11, 3995, 17240, 13","8248, 11, 3450, 11, 602, 2846, 539, 19108, 13"
"8248, 11, 3450, 11, 602, 2846, 539, 19108, 13","9514, 1205, 264, 9061, 1475, 1938, 13"
"9514, 1205, 264, 9061, 1475, 1938, 13","35734, 30"
"35734, 30","28753, 499, 1541, 956, 1390, 311, 22843, 3958, 13"
"28753, 499, 1541, 956, 1390, 311, 22843, 3958, 13","72, 1541, 956, 22843, 3958, 13"
"72, 1541, 956, 22843, 3958, 13","9210, 596, 1148, 499, 1781, 13"
"9210, 596, 1148, 499, 1781, 13","333, 602, 86798, 3958, 11, 602, 1436, 22843, 757, 13"
"333, 602, 86798, 3958, 11, 602, 1436, 22843, 757, 13","72, 649, 22843, 499, 13"
"72, 649, 22843, 499, 13","72, 649, 22843, 499, 11, 2288, 13"
"72, 649, 22843, 499, 11, 2288, 13","9210, 596, 856, 67443, 13"
"9210, 596, 856, 67443, 13","9493, 649, 602, 10051, 67443, 30"
"34431, 596, 5076, 449, 856, 6500, 13","327, 33839, 1148, 30"
"327, 33839, 1148, 30","543, 602, 636, 374, 264, 3776, 4264, 13"
"543, 602, 636, 374, 264, 3776, 4264, 13","12840, 596, 279, 5030, 30"
"12840, 596, 279, 5030, 30","72, 1781, 602, 1440, 11, 1606, 420, 7077, 1603, 13"
"72, 1781, 602, 1440, 11, 1606, 420, 7077, 1603, 13","12840, 7077, 1603, 30"
"12840, 7077, 1603, 30","2465, 2653, 6678, 34853, 13"
"2465, 2653, 6678, 34853, 13","2319, 11, 912, 13, 430, 596, 3958, 3754, 13"
"2319, 11, 912, 13, 430, 596, 3958, 3754, 13","275, 2771, 374, 11, 719, 602, 2846, 2133, 311, 1650, 21280, 1176, 11, 1120, 311, 1304, 2771, 13"
"275, 2771, 374, 11, 719, 602, 2846, 2133, 311, 1650, 21280, 1176, 11, 1120, 311, 1304, 2771, 13","14724, 499, 9229, 682, 701, 3626, 30"
"14724, 499, 9229, 682, 701, 3626, 30","2201, 11, 602, 2744, 1203, 709, 856, 3626, 13"
"2201, 11, 602, 2744, 1203, 709, 856, 3626, 13","9514, 2351, 7941, 13"
"72, 2663, 21280, 922, 856, 6500, 13","12840, 1550, 814, 2019, 30"
"12840, 1550, 814, 2019, 30","20670, 1071, 602, 1205, 264, 502, 2653, 6678, 13"
"20670, 1071, 602, 1205, 264, 502, 2653, 6678, 13","9210, 596, 2288, 3958, 13, 1268, 1790, 374, 264, 502, 832, 30"
"9210, 596, 2288, 3958, 13, 1268, 1790, 374, 264, 502, 832, 30","275, 596, 539, 2288, 1790, 11, 1193, 922, 400, 5313, 13"
"275, 596, 539, 2288, 1790, 11, 1193, 922, 400, 5313, 13","7284, 14028, 30"
"7284, 14028, 30","2201, 11, 856, 2653, 6678, 374, 4228, 311, 4148, 323, 8454, 13"
"2201, 11, 856, 2653, 6678, 374, 4228, 311, 4148, 323, 8454, 13","54760, 30"
"54760, 30","9891, 11, 433, 596, 1120, 264, 5743, 315, 46022, 13"
"9891, 11, 433, 596, 1120, 264, 5743, 315, 46022, 13","9210, 596, 6555, 13"
"9210, 596, 6555, 13","275, 596, 264, 2763, 2731, 1109, 12798, 4423, 400, 1399, 13"
"275, 596, 264, 2763, 2731, 1109, 12798, 4423, 400, 1399, 13","333, 856, 2653, 6678, 37237, 11, 602, 3358, 1120, 1650, 499, 13"
"12840, 596, 701, 2613, 2686, 30","275, 596, 1529, 3340, 540, 4513, 13"
"275, 596, 1529, 3340, 540, 4513, 13","2067, 3340, 540, 4513, 13, 527, 499, 2771, 430, 596, 682, 30"
"2067, 3340, 540, 4513, 13, 527, 499, 2771, 430, 596, 682, 30","9891, 13"
"9891, 13","2201, 13, 430, 596, 33243, 13"
"2201, 13, 430, 596, 33243, 13","12840, 656, 499, 3152, 30"
"12840, 656, 499, 3152, 30","12840, 596, 701, 33859, 2686, 30"
"12840, 596, 701, 33859, 2686, 30","10961, 41980, 6678, 11, 6502, 45447, 11, 2211, 220, 17000, 2031, 13"
"10961, 41980, 6678, 11, 6502, 45447, 11, 2211, 220, 17000, 2031, 13","9210, 596, 4495, 13"
"9210, 596, 4495, 13","708, 1148, 596, 279, 3575, 30"
"708, 1148, 596, 279, 3575, 30","2067, 3340, 540, 4513, 374, 1120, 279, 8761, 13, 499, 617, 311, 3041, 757, 279, 3363, 11, 1614, 11, 323, 10521, 2082, 13"
"2067, 3340, 540, 4513, 374, 1120, 279, 8761, 13, 499, 617, 311, 3041, 757, 279, 3363, 11, 1614, 11, 323, 10521, 2082, 13","2319, 11, 602, 636, 433, 13, 856, 2613, 2686, 374, 1529, 3340, 540, 4513, 54733, 916, 13"
"72, 2846, 2133, 311, 1935, 264, 26944, 13","9514, 1288, 653, 48574, 279, 4641, 13"
"9514, 1288, 653, 48574, 279, 4641, 13","9210, 596, 264, 1695, 4623, 13"
"9210, 596, 264, 1695, 4623, 13","3055, 499, 1390, 757, 311, 15508, 499, 304, 459, 6596, 30"
"3055, 499, 1390, 757, 311, 15508, 499, 304, 459, 6596, 30","2201, 11, 9523, 13, 1120, 1095, 757, 6212, 3156, 602, 15508, 709, 13"
"2201, 11, 9523, 13, 1120, 1095, 757, 6212, 3156, 602, 15508, 709, 13","72, 3358, 1212, 14177, 520, 220, 21, 25, 410, 13"
"72, 3358, 1212, 14177, 520, 220, 21, 25, 410, 13","94317, 13, 602, 1781, 602, 3358, 387, 35447, 555, 1243, 13"
"94317, 13, 602, 1781, 602, 3358, 387, 35447, 555, 1243, 13","333, 539, 11, 701, 19689, 690, 15508, 499, 709, 13"
"333, 539, 11, 701, 19689, 690, 15508, 499, 709, 13","9514, 3152, 602, 690, 22843, 279, 3691, 17677, 30"
"9514, 3152, 602, 690, 22843, 279, 3691, 17677, 30","9514, 2643, 1524, 8063, 922, 14177, 13"
"9514, 2643, 1524, 8063, 922, 14177, 13","72, 1541, 956, 1781, 602, 2846, 2133, 311, 8063, 922, 4205, 13, 602, 2846, 2216, 19781, 13"
"72, 1541, 956, 1781, 602, 2846, 2133, 311, 8063, 922, 4205, 13, 602, 2846, 2216, 19781, 13","19553, 264, 6555, 26944, 13"
"9210, 574, 264, 6555, 32079, 13","9891, 11, 18233, 11, 433, 574, 13"
"9891, 11, 18233, 11, 433, 574, 13","1820, 4538, 6688, 264, 6555, 8982, 922, 813, 7126, 13"
"1820, 4538, 6688, 264, 6555, 8982, 922, 813, 7126, 13","275, 574, 1317, 11, 2288, 13"
"275, 574, 1317, 11, 2288, 13","72, 1781, 433, 574, 922, 220, 1774, 4520, 1317, 13"
"72, 1781, 433, 574, 922, 220, 1774, 4520, 1317, 13","8248, 433, 4024, 555, 5043, 13, 433, 574, 7185, 13"
"8248, 433, 4024, 555, 5043, 13, 433, 574, 7185, 13","72, 15262, 433, 13"
"72, 15262, 433, 13","72, 3358, 3041, 499, 264, 8982, 1093, 430, 11, 2288, 13"
"72, 3358, 3041, 499, 264, 8982, 1093, 430, 11, 2288, 13","3055, 499, 1781, 5606, 690, 2586, 311, 856, 32079, 30"
"3055, 499, 1781, 5606, 690, 2586, 311, 856, 32079, 30","1073, 3388, 13"
"1073, 3388, 13","72, 1781, 1193, 279, 3070, 690, 387, 1070, 13"
"72, 1781, 1193, 279, 3070, 690, 387, 1070, 13","9514, 617, 10283, 315, 4885, 13, 814, 690, 387, 1070, 11, 2288, 0"
"88, 12732, 0, 1148, 574, 430, 12248, 30","72, 1047, 311, 12523, 856, 19689, 13"
"72, 1047, 311, 12523, 856, 19689, 13","23770, 499, 617, 311, 12523, 1314, 1828, 311, 279, 4641, 30"
"23770, 499, 617, 311, 12523, 1314, 1828, 311, 279, 4641, 30","23770, 499, 6865, 430, 30"
"23770, 499, 6865, 430, 30","1073, 3388, 602, 6755, 430, 13, 602, 3463, 264, 11277, 1047, 34853, 1139, 701, 3838, 13"
"1073, 3388, 602, 6755, 430, 13, 602, 3463, 264, 11277, 1047, 34853, 1139, 701, 3838, 13","275, 5828, 956, 430, 17813, 13"
"275, 5828, 956, 430, 17813, 13","72, 690, 12523, 856, 19689, 36113, 369, 499, 11, 323, 499, 3358, 1518, 13"
"72, 690, 12523, 856, 19689, 36113, 369, 499, 11, 323, 499, 3358, 1518, 13","94317, 13, 602, 3358, 1935, 701, 3492, 369, 433, 13"
"94317, 13, 602, 3358, 1935, 701, 3492, 369, 433, 13","72, 3463, 499, 1047, 459, 46840, 304, 701, 3838, 13"
"72, 3463, 499, 1047, 459, 46840, 304, 701, 3838, 13","9514, 2351, 15526, 13"
"9514, 2351, 15526, 13","12840, 1550, 499, 2019, 30, 602, 1781, 602, 3077, 8208, 47842, 13"
"12840, 1550, 499, 2019, 30, 602, 1781, 602, 3077, 8208, 47842, 13","72, 2846, 2133, 1139, 279, 15197, 311, 12523, 856, 19689, 13, 602, 3358, 387, 1314, 1203, 13"
"72, 617, 10283, 315, 4885, 13","54760, 30, 1268, 1690, 656, 499, 617, 30"
"54760, 30, 1268, 1690, 656, 499, 617, 30","72, 1541, 956, 1440, 11, 7344, 832, 7895, 13"
"72, 1541, 956, 1440, 11, 7344, 832, 7895, 13","9210, 374, 264, 2763, 315, 4885, 13, 656, 499, 617, 264, 1888, 4333, 30"
"9210, 374, 264, 2763, 315, 4885, 13, 656, 499, 617, 264, 1888, 4333, 30","1073, 3388, 13, 602, 617, 10283, 315, 1888, 4885, 13"
"1073, 3388, 13, 602, 617, 10283, 315, 1888, 4885, 13","5269, 1690, 1888, 4885, 656, 499, 617, 30"
"5269, 1690, 1888, 4885, 656, 499, 617, 30","72, 1781, 922, 17510, 36399, 13"
"72, 1781, 922, 17510, 36399, 13","71, 3906, 13, 602, 617, 1193, 832, 1888, 4333, 13"
"71, 3906, 13, 602, 617, 1193, 832, 1888, 4333, 13","72, 2733, 14931, 369, 499, 13"
"72, 2733, 14931, 369, 499, 13","72, 617, 1193, 264, 2478, 4885, 13"
"72, 617, 1193, 264, 2478, 4885, 13","9514, 2011, 387, 40666, 13, 602, 690, 4430, 856, 4885, 449, 499, 13"
"9514, 2011, 387, 40666, 13, 602, 690, 4430, 856, 4885, 449, 499, 13","9210, 596, 1633, 6555, 315, 499, 13"
"15357, 956, 499, 3596, 41868, 389, 757, 13","35734, 1053, 602, 656, 430, 30"
"35734, 1053, 602, 656, 430, 30","28753, 3026, 1093, 311, 41868, 13"
"28753, 3026, 1093, 311, 41868, 13","15031, 3026, 656, 11, 719, 539, 757, 13"
"15031, 3026, 656, 11, 719, 539, 757, 13","72, 2846, 10307, 499, 13"
"72, 2846, 10307, 499, 13","72, 2846, 459, 1825, 2363, 13, 3821, 757, 682, 499, 1390, 13"
"72, 2846, 459, 1825, 2363, 13, 3821, 757, 682, 499, 1390, 13","333, 602, 2339, 499, 11, 499, 3358, 387, 14931, 13"
"333, 602, 2339, 499, 11, 499, 3358, 387, 14931, 13","9514, 2834, 956, 2339, 757, 11, 1606, 602, 3021, 499, 13, 602, 2846, 539, 264, 3091, 977, 13"
"9514, 2834, 956, 2339, 757, 11, 1606, 602, 3021, 499, 13, 602, 2846, 539, 264, 3091, 977, 13","72, 690, 52651, 701, 6548, 704, 13, 220"
"72, 690, 52651, 701, 6548, 704, 13, 220","72, 1541, 956, 1390, 904, 1023, 5333, 13"
"72, 1541, 956, 1390, 904, 1023, 5333, 13","72, 690, 48094, 701, 45713, 1022, 11, 832, 555, 832, 13"
"72, 690, 48094, 701, 45713, 1022, 11, 832, 555, 832, 13","71, 2596, 11, 4587, 13, 499, 2351, 279, 1193, 5333, 369, 757, 11, 16058, 13, 602, 47177, 433, 13"
"72, 12491, 311, 733, 4994, 13","2727, 2288, 13"
"2727, 2288, 13","35734, 656, 499, 12491, 311, 733, 4994, 30"
"35734, 656, 499, 12491, 311, 733, 4994, 30","72, 3449, 2288, 1690, 21706, 2857, 13"
"72, 3449, 2288, 1690, 21706, 2857, 13","72, 7655, 13"
"72, 7655, 13","576, 3363, 374, 2539, 315, 21706, 2857, 13"
"576, 3363, 374, 2539, 315, 21706, 2857, 13","81, 799, 1274, 527, 17277, 13"
"81, 799, 1274, 527, 17277, 13","8248, 1148, 649, 499, 656, 30"
"8248, 1148, 649, 499, 656, 30","9514, 649, 65413, 520, 1124, 13"
"9514, 649, 65413, 520, 1124, 13","438, 814, 690, 65413, 1203, 520, 499, 13"
"438, 814, 690, 65413, 1203, 520, 499, 13","88, 6427, 3250, 956, 656, 904, 1695, 13"
"88, 6427, 3250, 956, 656, 904, 1695, 13","2201, 13, 279, 1888, 3245, 311, 656, 374, 1120, 4822, 2162, 13"
"14724, 499, 1427, 520, 420, 1376, 30","548, 499, 3515, 5435, 449, 433, 30"
"548, 499, 3515, 5435, 449, 433, 30","72, 1541, 956, 3619, 1063, 2574, 13"
"72, 1541, 956, 3619, 1063, 2574, 13","1169, 757, 1520, 499, 13"
"1169, 757, 1520, 499, 13","12840, 1587, 330, 8318, 1, 3152, 30"
"12840, 1587, 330, 8318, 1, 3152, 30","1, 8318, 1, 13656, 369, 6278, 2926, 13"
"1, 8318, 1, 13656, 369, 6278, 2926, 13","12840, 1587, 330, 3906, 45981, 14, 4912, 1, 3152, 30"
"12840, 1587, 330, 3906, 45981, 14, 4912, 1, 3152, 30","9210, 3445, 2305, 45839, 86000, 13, 1005, 5219, 13"
"9210, 3445, 2305, 45839, 86000, 13, 1005, 5219, 13","72, 1541, 956, 3619, 13"
"72, 1541, 956, 3619, 13","2000, 3187, 11, 422, 701, 7342, 2457, 374, 33962, 3620, 220, 717, 11, 220, 3753, 22, 11, 3350, 220, 1721, 14, 717, 14, 4044, 13"
"2000, 3187, 11, 422, 701, 7342, 2457, 374, 33962, 3620, 220, 717, 11, 220, 3753, 22, 11, 3350, 220, 1721, 14, 717, 14, 4044, 13","2319, 13, 430, 596, 4382, 3403, 13"
"2319, 13, 430, 596, 4382, 3403, 13","33222, 1194, 9539, 11, 323, 5266, 304, 279, 44783, 6724, 13"
"1169, 596, 733, 311, 279, 10065, 23756, 13","12840, 656, 499, 1390, 311, 656, 30"
"12840, 656, 499, 1390, 311, 656, 30","72, 1390, 311, 636, 264, 42289, 369, 856, 4538, 13"
"72, 1390, 311, 636, 264, 42289, 369, 856, 4538, 13","9210, 690, 1304, 1461, 779, 6380, 13"
"9210, 690, 1304, 1461, 779, 6380, 13","72, 3358, 636, 1461, 832, 315, 1884, 2697, 12875, 13"
"72, 3358, 636, 1461, 832, 315, 1884, 2697, 12875, 13","606, 430, 2834, 956, 3139, 709, 2288, 2466, 13"
"606, 430, 2834, 956, 3139, 709, 2288, 2466, 13","438, 8343, 2288, 1790, 13"
"438, 8343, 2288, 1790, 13","3055, 499, 1440, 902, 832, 568, 1053, 1093, 30"
"3055, 499, 1440, 902, 832, 568, 1053, 1093, 30","2319, 11, 10035, 11, 602, 3952, 1461, 1070, 13985, 13, 568, 8710, 757, 832, 430, 568, 2216, 15262, 13"
"2319, 11, 10035, 11, 602, 3952, 1461, 1070, 13985, 13, 568, 8710, 757, 832, 430, 568, 2216, 15262, 13","72, 1297, 499, 1047, 311, 11161, 1461, 3201, 13"
"72, 1297, 499, 1047, 311, 11161, 1461, 3201, 13","383, 4934, 311, 1935, 433, 2162, 13985, 13"
"383, 4934, 311, 1935, 433, 2162, 13985, 13","72, 5895, 1148, 568, 3358, 836, 433, 13"
"12840, 596, 279, 9282, 1093, 30","72, 1541, 956, 1440, 13, 602, 1120, 39826, 709, 13"
"72, 1541, 956, 1440, 13, 602, 1120, 39826, 709, 13","35734, 1541, 956, 499, 1427, 4994, 30"
"35734, 1541, 956, 499, 1427, 4994, 30","94317, 13, 433, 5992, 1093, 11422, 13"
"94317, 13, 433, 5992, 1093, 11422, 13","35734, 656, 499, 2019, 430, 30"
"35734, 656, 499, 2019, 430, 30","1820, 13180, 374, 18004, 13"
"1820, 13180, 374, 18004, 13","285, 433, 84353, 1314, 1457, 30"
"285, 433, 84353, 1314, 1457, 30","2201, 13"
"2201, 13","5269, 656, 499, 1440, 30"
"5269, 656, 499, 1440, 30","1820, 8761, 4536, 956, 14739, 13"
"1820, 8761, 4536, 956, 14739, 13","72, 617, 311, 733, 12185, 3432, 13"
"72, 617, 311, 733, 12185, 3432, 13","9514, 4265, 2731, 1935, 459, 48998, 13"
"72, 649, 956, 4510, 1268, 4106, 433, 374, 13","275, 596, 539, 1524, 38245, 3686, 13"
"275, 596, 539, 1524, 38245, 3686, 13","9210, 3445, 433, 690, 636, 80005, 13"
"9210, 3445, 433, 690, 636, 80005, 13","72, 1097, 23069, 505, 279, 8798, 13"
"72, 1097, 23069, 505, 279, 8798, 13","413, 389, 279, 3805, 65424, 13"
"413, 389, 279, 3805, 65424, 13","275, 3250, 956, 990, 13"
"275, 3250, 956, 990, 13","12840, 7077, 30"
"12840, 7077, 30","72, 1541, 956, 1440, 13"
"72, 1541, 956, 1440, 13","23770, 499, 1650, 279, 13023, 1543, 30"
"23770, 499, 1650, 279, 13023, 1543, 30","1073, 3388, 13"
"1073, 3388, 13","9493, 374, 568, 5108, 30"
"9493, 374, 568, 5108, 30","383, 596, 13326, 13, 568, 1071, 1828, 2046, 13"
"72, 3358, 387, 16089, 994, 12688, 4131, 13","35734, 374, 430, 30"
"35734, 374, 430, 30","28753, 602, 3021, 279, 12056, 13"
"28753, 602, 3021, 279, 12056, 13","9891, 11, 279, 12056, 374, 2523, 13"
"9891, 11, 279, 12056, 374, 2523, 13","4354, 1060, 584, 1903, 264, 2466, 12056, 1543, 13"
"4354, 1060, 584, 1903, 264, 2466, 12056, 1543, 13","5269, 2466, 574, 433, 30"
"5269, 2466, 574, 433, 30","275, 574, 8254, 7693, 16615, 13"
"275, 574, 8254, 7693, 16615, 13","5269, 1317, 1550, 433, 1935, 30"
"5269, 1317, 1550, 433, 1935, 30","275, 3952, 603, 682, 1938, 13"
"275, 3952, 603, 682, 1938, 13","23770, 499, 3041, 1461, 264, 19689, 30"
"23770, 499, 3041, 1461, 264, 19689, 30","1073, 3388, 13, 584, 6688, 1461, 264, 2466, 75294, 369, 264, 19689, 13"
"1073, 3388, 13, 584, 6688, 1461, 264, 2466, 75294, 369, 264, 19689, 13","1169, 757, 1520, 499, 1304, 832, 420, 1060, 13"
"72, 2846, 2133, 311, 279, 6201, 13","12840, 656, 499, 1205, 311, 656, 30"
"12840, 656, 499, 1205, 311, 656, 30","72, 1205, 311, 15142, 1063, 3300, 13"
"72, 1205, 311, 15142, 1063, 3300, 13","5269, 527, 499, 2133, 311, 656, 430, 30"
